Simulation Count,Average Cost,Error,Percent Error,,
481000,25498.332225,15.0643727362,0.0590798355,,
482000,25512.074896,1.3217017362,0.0051806909,,
483000,25532.256522,18.8599242638,0.0738670483,,
484000,25509.779545,3.6170527362,0.0141790827,,
485000,25499.681237,13.7153607362,0.0537864007,,
486000,25526.173251,12.7766532638,0.050053148,,
487000,25499.611704,13.7848937362,0.05405923,,
488000,25520.432172,7.0355742638,0.0275683978,,
489000,25514.825358,1.4287602638,0.0055997258,,
490000,25508.959388,4.4372097362,0.0173947109,,
491000,25488.189409,25.2071887362,0.098897526,,
492000,25530.905488,17.5088902638,0.0685791981,,
493000,25513.153753,0.2428447362,0.0009518413,,
494000,25504.159919,9.2366787362,0.0362163614,,
495000,25505.061616,8.3349817362,0.0326797161,,
496000,25504.158468,9.2381297362,0.0362220528,,
497000,25535.852113,22.4555152638,0.0879372075,,
498000,25534.023896,20.6272982638,0.0807835786,,
499000,25498.242685,15.1539127362,0.0594312044,,
500000,25529.8578,16.4612022638,0.0644782372,,
501000,25495.746307,17.6502907362,0.0692283745,,
502000,25518.064542,4.6679442638,0.018292705,,
503000,25510.147714,3.2488837362,0.0127356524,,
504000,25513.351389,0.0452087362,0.0001771964,,
505000,25497.837822,15.5587757362,0.0610199808,,
506000,25529.718775,16.3221772638,0.0639340269,,
507000,25518.386391,4.9897932638,0.0195537178,,
508000,25517.399016,4.0024182638,0.0156850558,,
509000,25526.307466,12.9108682638,0.0505786757,,
510000,25528.326471,14.9298732638,0.0584835566,,
511000,25508.62544,4.7711577362,0.0187040958,,
512000,25501.911719,11.4848787362,0.0450353639,,
513000,25514.928265,1.5316672638,0.006003024,,
514000,25529.531128,16.1345302638,0.0631994774,,
515000,25504.081553,9.3150447362,0.0365237412,,
516000,25540.851938,27.4553402638,0.1074957888,,
517000,25503.139072,10.2575257362,0.0402206399,,
518000,25527.336873,13.9402752638,0.0546092032,,
519000,25505.073025,8.3235727362,0.0326349692,,
520000,25530.661731,17.2651332638,0.0676250911,,
521000,25517.573704,4.1771062638,0.0163695276,,
522000,25524.380651,10.9840532638,0.0430335741,,
523000,25532.647992,19.2513942638,0.0753991293,,
524000,25510.639122,2.7574757362,0.0108091206,,
525000,25509.19181,4.2047877362,0.016483422,,
